nb_proc,msg_size,time
16,16100,0.00069186
64,16100,0.00102759
16,16110,0.00069187
64,16110,0.00102766
16,16120,0.00069191
64,16120,0.00102774
16,16130,0.00069195
64,16130,0.0010278
16,16140,0.00069198
64,16140,0.00102787
16,16150,0.00069202
64,16150,0.00102791
16,16160,0.00069205
64,16160,0.00102801
16,16170,0.00069209
64,16170,0.00102807
16,16180,0.0006921
64,16180,0.00102815
16,16190,0.00069216
64,16190,0.00102825
16,16200,0.00069219
64,16200,0.00102828
16,16210,0.00069221
64,16210,0.00102836
16,16220,0.00069225
64,16220,0.00102842
16,16230,0.00069229
64,16230,0.00102848
16,16240,0.0006923
64,16240,0.00102856
16,16250,0.00069233
64,16250,0.00102863
16,16260,0.00069239
64,16260,0.0010287
16,16270,0.00069242
64,16270,0.00102876
16,16280,0.00069245
64,16280,0.00102883
16,16290,0.00069248
64,16290,0.0010289
16,16300,0.00069251
64,16300,0.00102897
16,16310,0.00069256
64,16310,0.00102902
16,16320,0.00069259
64,16320,0.0010291
16,16330,0.00069262
64,16330,0.00102918
16,16340,0.00069264
64,16340,0.00102927
16,16350,0.00069269
64,16350,0.0010293
16,16360,0.00069271
64,16360,0.00102938
16,16370,0.00199565
64,16370,0.00298475
16,16380,0.00199566
64,16380,0.00298482
16,16390,0.00196522
64,16390,0.00290791
16,16400,0.00196524
64,16400,0.00290792
16,16410,0.00196525
64,16410,0.00290789
16,16420,0.00196526
64,16420,0.00290798
16,16430,0.00196529
64,16430,0.00290799
16,16440,0.00196529
64,16440,0.00290802
16,16450,0.00196531
64,16450,0.00290798
16,16460,0.00196532
64,16460,0.00290803
16,16470,0.00196534
64,16470,0.00290802
16,16480,0.00196535
64,16480,0.00290804
16,16490,0.00196537
64,16490,0.0029081
16,16500,0.00196538
64,16500,0.00290812
