topology,nb_roots,nb_proc,size,rank,communication_time,computation_time
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2103,0.54809745,0.28517135
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2105,0.54545078,0.28775044
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4804,0.54691085,0.28632665
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6955,0.54617708,0.28705459
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2406,0.54690557,0.28637775
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4803,0.54662504,0.2866249
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2216,0.54611108,0.28711992
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,3150,0.54514901,0.28803603
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2227,0.5470222,0.28621646
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6957,0.54532605,0.28788499
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6954,0.54737731,0.28588704
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4446,0.54492648,0.28829335
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7752,0.54772811,0.28555348
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4702,0.5478878,0.28529259
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2497,0.5457025,0.28752281
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,4703,0.54525268,0.28801404
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,2468,0.54583008,0.28745658
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5186,0.54703455,0.2862426
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5720,0.54805083,0.28530592
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,7052,0.54719074,0.28610899
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,5627,0.54627336,0.28698591
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,1671,0.54692747,0.28636507
"3;24,24,48;1,24,5;1,1,1",120,8649,9300,6378,0.54542264,0.28782637
